sample_index,true_label_name,SFT+LoRA_status,SFT+LoRA_pred,SFT+LoRA_confidence,SFT-only_status,SFT-only_pred,SFT-only_confidence
99,braided,WRONG,zigzagged,0.7454,not-logged-as-wrong,,
100,braided,WRONG,bumpy,0.6289,WRONG,wrinkled,0.5937
107,braided,WRONG,matted,0.9305,WRONG,matted,0.6278
111,braided,WRONG,bumpy,0.9290,WRONG,bumpy,0.6084
115,braided,not-logged-as-wrong,,,WRONG,woven,0.9138
116,braided,WRONG,bumpy,0.3910,not-logged-as-wrong,,
119,braided,WRONG,knitted,0.9686,WRONG,knitted,0.8911
121,bubbly,WRONG,flecked,0.8112,WRONG,flecked,0.9995
128,bubbly,WRONG,potholed,0.5778,WRONG,potholed,0.6508
130,bubbly,WRONG,blotchy,0.5714,WRONG,blotchy,0.9905
134,bubbly,WRONG,swirly,0.9972,WRONG,swirly,0.9933
135,bubbly,WRONG,marbled,0.9895,WRONG,matted,0.6384
137,bubbly,not-logged-as-wrong,,,WRONG,sprinkled,0.5130
144,bubbly,not-logged-as-wrong,,,WRONG,porous,0.7357
152,bubbly,WRONG,flecked,0.9919,WRONG,flecked,0.9924
155,bubbly,WRONG,sprinkled,0.9949,WRONG,sprinkled,0.9538
158,bubbly,WRONG,flecked,0.9714,WRONG,flecked,0.9968
160,bumpy,WRONG,scaly,0.9711,WRONG,scaly,0.9866
161,bumpy,WRONG,knitted,0.9987,WRONG,knitted,0.9967
162,bumpy,WRONG,potholed,0.3245,WRONG,cracked,0.3544
164,bumpy,WRONG,braided,0.7937,WRONG,braided,0.7362
165,bumpy,not-logged-as-wrong,,,WRONG,crystalline,0.3991
166,bumpy,WRONG,scaly,0.6962,WRONG,scaly,0.8187
168,bumpy,WRONG,braided,0.7623,not-logged-as-wrong,,
169,bumpy,WRONG,porous,0.8412,WRONG,porous,0.6798
170,bumpy,not-logged-as-wrong,,,WRONG,crosshatched,0.4194
172,bumpy,WRONG,pitted,0.7206,not-logged-as-wrong,,
174,bumpy,WRONG,braided,0.9250,WRONG,braided,0.8376
175,bumpy,WRONG,porous,0.9290,WRONG,porous,0.9891
177,bumpy,WRONG,honeycombed,0.7617,WRONG,honeycombed,0.8244
178,bumpy,WRONG,potholed,0.9855,WRONG,potholed,0.8780
180,bumpy,WRONG,waffled,0.7204,WRONG,waffled,0.8928
183,bumpy,WRONG,blotchy,0.7047,WRONG,blotchy,0.6474
187,bumpy,WRONG,cracked,0.9461,WRONG,cracked,0.8131
190,bumpy,WRONG,pitted,0.7901,WRONG,pitted,0.5304
192,bumpy,WRONG,pitted,0.8321,WRONG,pitted,0.6814
195,bumpy,not-logged-as-wrong,,,WRONG,woven,0.6208
198,bumpy,WRONG,bubbly,0.3095,not-logged-as-wrong,,
210,chequered,WRONG,perforated,0.2590,WRONG,dotted,0.2641
236,chequered,WRONG,banded,0.3663,WRONG,banded,0.4227
237,chequered,WRONG,lined,0.7786,WRONG,lined,0.9379
239,chequered,WRONG,gauzy,0.6015,WRONG,gauzy,0.8087
242,cobwebbed,WRONG,blotchy,0.9794,WRONG,blotchy,0.5957
246,cobwebbed,WRONG,spiralled,0.3543,WRONG,sprinkled,0.4641
254,cobwebbed,not-logged-as-wrong,,,WRONG,swirly,0.6701
258,cobwebbed,not-logged-as-wrong,,,WRONG,grid,0.6948
260,cobwebbed,WRONG,interlaced,0.6908,WRONG,pitted,0.4383
288,cracked,WRONG,blotchy,0.4782,not-logged-as-wrong,,
294,cracked,WRONG,stratified,0.8238,WRONG,stratified,0.7031
295,cracked,WRONG,blotchy,0.4810,WRONG,veined,0.8026
296,cracked,WRONG,wrinkled,0.7480,WRONG,scaly,0.8693
298,cracked,WRONG,crystalline,0.5474,WRONG,crystalline,0.7425
303,cracked,WRONG,stained,0.9988,WRONG,stained,0.9543
307,cracked,WRONG,marbled,0.2828,WRONG,porous,0.4526
308,cracked,WRONG,frilly,0.9856,WRONG,frilly,0.9709
312,cracked,WRONG,stratified,0.7483,WRONG,stratified,0.9846
313,cracked,not-logged-as-wrong,,,WRONG,stained,0.8183
314,cracked,WRONG,veined,0.6943,WRONG,marbled,0.7596
317,cracked,WRONG,cobwebbed,0.8319,WRONG,cobwebbed,0.6777
321,crosshatched,WRONG,woven,0.8268,WRONG,grid,0.8097
329,crosshatched,WRONG,grid,0.8965,WRONG,grid,0.9312
330,crosshatched,WRONG,flecked,0.9061,WRONG,flecked,0.9658
331,crosshatched,not-logged-as-wrong,,,WRONG,gauzy,0.4177
332,crosshatched,WRONG,potholed,0.3940,WRONG,cracked,0.6764
333,crosshatched,WRONG,gauzy,0.6073,not-logged-as-wrong,,
334,crosshatched,WRONG,stained,0.8310,WRONG,stained,0.3446
335,crosshatched,WRONG,honeycombed,0.9439,WRONG,honeycombed,0.5783
337,crosshatched,WRONG,grid,0.8478,WRONG,gauzy,0.9130
338,crosshatched,WRONG,stained,0.6819,WRONG,stained,0.5470
341,crosshatched,WRONG,wrinkled,0.8453,WRONG,fibrous,0.9032
344,crosshatched,WRONG,meshed,0.7027,WRONG,grid,0.5292
346,crosshatched,not-logged-as-wrong,,,WRONG,scaly,0.5054
348,crosshatched,WRONG,grid,0.7845,WRONG,grid,0.8044
350,crosshatched,WRONG,bumpy,0.9997,WRONG,bumpy,0.9976
352,crosshatched,WRONG,flecked,0.5031,WRONG,flecked,0.8491
357,crosshatched,WRONG,gauzy,0.8913,WRONG,grid,0.8436
386,crystalline,not-logged-as-wrong,,,WRONG,stained,0.5351
406,dotted,WRONG,polka-dotted,0.5065,not-logged-as-wrong,,
408,dotted,not-logged-as-wrong,,,WRONG,polka-dotted,0.9902
410,dotted,WRONG,polka-dotted,0.9204,WRONG,polka-dotted,0.9809
411,dotted,WRONG,polka-dotted,0.6444,not-logged-as-wrong,,
415,dotted,WRONG,polka-dotted,0.9472,WRONG,polka-dotted,0.9951
416,dotted,not-logged-as-wrong,,,WRONG,polka-dotted,0.9218
417,dotted,not-logged-as-wrong,,,WRONG,polka-dotted,0.5877
418,dotted,WRONG,polka-dotted,0.9382,WRONG,polka-dotted,0.9111
419,dotted,WRONG,polka-dotted,0.8724,WRONG,polka-dotted,0.8927
422,dotted,WRONG,polka-dotted,0.9152,not-logged-as-wrong,,
424,dotted,WRONG,polka-dotted,0.8525,WRONG,polka-dotted,0.9976
426,dotted,WRONG,polka-dotted,0.8482,not-logged-as-wrong,,
428,dotted,WRONG,polka-dotted,0.9661,WRONG,polka-dotted,0.9979
429,dotted,not-logged-as-wrong,,,WRONG,polka-dotted,0.9629
431,dotted,WRONG,polka-dotted,0.9999,WRONG,polka-dotted,0.9996
432,dotted,WRONG,swirly,0.5780,not-logged-as-wrong,,
435,dotted,WRONG,polka-dotted,0.9964,WRONG,polka-dotted,0.9994
439,dotted,WRONG,polka-dotted,0.8525,WRONG,polka-dotted,0.9976
441,fibrous,WRONG,blotchy,0.8726,WRONG,blotchy,0.6951
442,fibrous,WRONG,marbled,0.9998,WRONG,marbled,0.6345
443,fibrous,WRONG,matted,0.9991,WRONG,matted,0.9996
444,fibrous,WRONG,matted,0.5223,WRONG,matted,0.6401
447,fibrous,WRONG,matted,0.8369,not-logged-as-wrong,,
448,fibrous,WRONG,smeared,0.9586,WRONG,smeared,0.6854
450,fibrous,WRONG,matted,0.9860,WRONG,matted,0.9971
452,fibrous,WRONG,matted,0.9457,WRONG,matted,0.8118
454,fibrous,WRONG,smeared,0.4441,WRONG,braided,0.6664
456,fibrous,WRONG,matted,0.8280,WRONG,matted,0.8145
459,fibrous,WRONG,matted,0.9945,WRONG,matted,0.9917
461,fibrous,WRONG,braided,0.4860,WRONG,braided,0.9095
471,fibrous,WRONG,matted,0.8123,WRONG,matted,0.9518
479,fibrous,not-logged-as-wrong,,,WRONG,matted,0.5397
482,flecked,WRONG,blotchy,0.6172,WRONG,blotchy,0.8475
483,flecked,WRONG,blotchy,0.4249,WRONG,sprinkled,0.7422
487,flecked,WRONG,sprinkled,0.7065,not-logged-as-wrong,,
488,flecked,not-logged-as-wrong,,,WRONG,porous,0.5147
491,flecked,not-logged-as-wrong,,,WRONG,porous,0.7165
495,flecked,WRONG,crystalline,0.7008,not-logged-as-wrong,,
500,flecked,WRONG,knitted,0.8996,WRONG,knitted,0.8377
503,flecked,not-logged-as-wrong,,,WRONG,knitted,0.8393
504,flecked,WRONG,scaly,0.9573,WRONG,scaly,0.9338
505,flecked,WRONG,chequered,0.2048,WRONG,bumpy,0.3685
508,flecked,WRONG,knitted,0.6468,WRONG,grooved,0.4731
509,flecked,not-logged-as-wrong,,,WRONG,polka-dotted,0.7551
517,flecked,WRONG,perforated,0.6643,WRONG,meshed,0.5074
524,freckled,WRONG,veined,0.9925,WRONG,veined,0.9761
528,freckled,WRONG,waffled,0.8981,WRONG,sprinkled,0.8923
532,freckled,WRONG,smeared,0.8912,WRONG,bubbly,0.6709
543,freckled,WRONG,pitted,0.6918,WRONG,bumpy,0.6349
544,freckled,WRONG,spiralled,0.9396,WRONG,spiralled,0.9966
566,frilly,WRONG,crystalline,0.9203,not-logged-as-wrong,,
598,frilly,not-logged-as-wrong,,,WRONG,sprinkled,0.4321
599,frilly,not-logged-as-wrong,,,WRONG,spiralled,0.9615
608,gauzy,WRONG,fibrous,0.9112,WRONG,fibrous,0.5000
612,gauzy,WRONG,smeared,0.5344,WRONG,smeared,0.8247
632,gauzy,WRONG,wrinkled,0.9930,WRONG,wrinkled,0.9075
634,gauzy,not-logged-as-wrong,,,WRONG,pleated,0.2960
635,gauzy,WRONG,wrinkled,0.8632,WRONG,wrinkled,0.9211
643,grid,WRONG,crosshatched,0.5691,WRONG,polka-dotted,0.4803
644,grid,not-logged-as-wrong,,,WRONG,lined,0.9581
646,grid,WRONG,meshed,0.9982,WRONG,meshed,0.9888
648,grid,not-logged-as-wrong,,,WRONG,chequered,0.3717
650,grid,WRONG,interlaced,0.7668,WRONG,interlaced,0.9989
656,grid,WRONG,lacelike,0.9124,WRONG,lacelike,0.9699
657,grid,WRONG,interlaced,0.7412,WRONG,interlaced,0.9039
658,grid,WRONG,woven,0.6994,WRONG,woven,0.8328
659,grid,WRONG,woven,0.9223,WRONG,woven,0.9717
660,grid,WRONG,zigzagged,0.9487,WRONG,chequered,0.4520
661,grid,WRONG,perforated,0.8724,WRONG,perforated,0.9160
662,grid,WRONG,meshed,0.7245,WRONG,meshed,0.7443
664,grid,WRONG,woven,0.6707,WRONG,woven,0.9056
669,grid,WRONG,zigzagged,0.5881,not-logged-as-wrong,,
670,grid,WRONG,meshed,0.9995,WRONG,meshed,0.9933
671,grid,WRONG,lined,0.8934,WRONG,lined,0.9553
672,grid,WRONG,perforated,0.6624,not-logged-as-wrong,,
673,grid,WRONG,zigzagged,0.5454,WRONG,interlaced,0.5796
674,grid,WRONG,perforated,0.5821,not-logged-as-wrong,,
678,grid,WRONG,meshed,0.4093,WRONG,meshed,0.6500
683,grooved,WRONG,crosshatched,0.5191,WRONG,crosshatched,0.9490
687,grooved,WRONG,veined,0.6950,WRONG,veined,0.7526
689,grooved,WRONG,banded,0.9858,WRONG,banded,0.9946
691,grooved,WRONG,banded,0.8318,WRONG,banded,0.9938
695,grooved,WRONG,waffled,0.5452,WRONG,waffled,0.1784
697,grooved,WRONG,banded,0.3270,WRONG,banded,0.6343
709,grooved,WRONG,cracked,0.3255,WRONG,cracked,0.7193
714,grooved,WRONG,chequered,0.3821,not-logged-as-wrong,,
721,honeycombed,WRONG,flecked,0.3138,not-logged-as-wrong,,
723,honeycombed,WRONG,meshed,0.9201,WRONG,meshed,0.9947
731,honeycombed,not-logged-as-wrong,,,WRONG,frilly,0.3861
736,honeycombed,WRONG,perforated,0.7228,WRONG,perforated,0.6438
740,honeycombed,not-logged-as-wrong,,,WRONG,perforated,0.7445
743,honeycombed,WRONG,meshed,0.5050,WRONG,meshed,0.5179
746,honeycombed,not-logged-as-wrong,,,WRONG,dotted,0.7373
753,honeycombed,WRONG,scaly,0.5083,WRONG,meshed,0.4626
759,honeycombed,not-logged-as-wrong,,,WRONG,scaly,0.2932
761,interlaced,WRONG,honeycombed,0.8633,WRONG,meshed,0.9890
762,interlaced,WRONG,lacelike,0.5006,not-logged-as-wrong,,
763,interlaced,WRONG,zigzagged,0.7929,WRONG,zigzagged,0.9714
769,interlaced,not-logged-as-wrong,,,WRONG,cobwebbed,0.4047
771,interlaced,WRONG,scaly,0.5812,WRONG,cobwebbed,0.4116
776,interlaced,not-logged-as-wrong,,,WRONG,stained,0.2978
781,interlaced,WRONG,woven,0.5566,WRONG,braided,0.9728
782,interlaced,WRONG,knitted,0.9979,WRONG,knitted,0.9996
783,interlaced,not-logged-as-wrong,,,WRONG,zigzagged,0.7445
785,interlaced,WRONG,cobwebbed,0.9944,WRONG,cobwebbed,0.9373
795,interlaced,WRONG,zigzagged,0.9412,not-logged-as-wrong,,
796,interlaced,WRONG,paisley,0.9871,WRONG,paisley,0.9116
804,knitted,WRONG,gauzy,0.7261,WRONG,woven,0.9259
809,knitted,WRONG,braided,0.6413,WRONG,braided,0.9360
823,knitted,not-logged-as-wrong,,,WRONG,flecked,0.7793
830,knitted,WRONG,woven,0.4247,WRONG,zigzagged,0.5744
831,knitted,not-logged-as-wrong,,,WRONG,flecked,0.7543
843,lacelike,WRONG,scaly,0.4134,WRONG,scaly,0.3249
852,lacelike,WRONG,sprinkled,0.4826,WRONG,sprinkled,0.7686
853,lacelike,not-logged-as-wrong,,,WRONG,cobwebbed,0.5048
856,lacelike,WRONG,paisley,0.9779,not-logged-as-wrong,,
863,lacelike,not-logged-as-wrong,,,WRONG,stained,0.3942
865,lacelike,WRONG,sprinkled,0.9457,WRONG,sprinkled,0.9186
867,lacelike,WRONG,swirly,0.6672,not-logged-as-wrong,,
878,lacelike,WRONG,cobwebbed,0.9962,WRONG,cobwebbed,0.9971
882,lined,WRONG,grooved,0.6450,WRONG,banded,0.5407
886,lined,WRONG,grooved,0.8711,WRONG,grooved,0.8609
887,lined,WRONG,banded,0.8386,WRONG,banded,0.9955
893,lined,WRONG,banded,0.7016,WRONG,banded,0.7122
896,lined,WRONG,banded,0.8074,not-logged-as-wrong,,
898,lined,not-logged-as-wrong,,,WRONG,grooved,0.3974
899,lined,WRONG,striped,0.9279,WRONG,striped,0.9542
902,lined,WRONG,banded,0.9991,WRONG,banded,0.9776
904,lined,WRONG,banded,0.9996,WRONG,banded,0.9638
906,lined,not-logged-as-wrong,,,WRONG,banded,0.7372
907,lined,WRONG,banded,0.9106,WRONG,banded,0.9933
908,lined,not-logged-as-wrong,,,WRONG,banded,0.9694
909,lined,WRONG,grooved,0.7095,not-logged-as-wrong,,
914,lined,WRONG,banded,0.9763,WRONG,banded,0.9913
915,lined,WRONG,braided,0.2640,WRONG,braided,0.4835
916,lined,WRONG,banded,0.9748,WRONG,banded,0.9757
918,lined,WRONG,blotchy,0.5550,not-logged-as-wrong,,
920,marbled,not-logged-as-wrong,,,WRONG,lacelike,0.3654
922,marbled,WRONG,pitted,0.4636,WRONG,flecked,0.9983
923,marbled,WRONG,blotchy,0.4867,WRONG,blotchy,0.5351
926,marbled,WRONG,swirly,0.9873,WRONG,swirly,0.9945
929,marbled,WRONG,blotchy,0.8991,not-logged-as-wrong,,
930,marbled,WRONG,cracked,0.9983,WRONG,cracked,0.9840
938,marbled,WRONG,pitted,0.9863,WRONG,flecked,0.9928
939,marbled,WRONG,stratified,0.8074,WRONG,stratified,0.9662
941,marbled,WRONG,porous,0.5864,WRONG,porous,0.9871
942,marbled,WRONG,interlaced,0.7006,WRONG,interlaced,0.5260
945,marbled,not-logged-as-wrong,,,WRONG,stained,0.6394
946,marbled,WRONG,paisley,0.8923,not-logged-as-wrong,,
947,marbled,WRONG,stained,0.8105,not-logged-as-wrong,,
948,marbled,WRONG,blotchy,0.4610,not-logged-as-wrong,,
949,marbled,WRONG,stained,0.6986,WRONG,stained,0.7029
951,marbled,WRONG,fibrous,0.3729,WRONG,striped,0.5291
953,marbled,WRONG,blotchy,0.5662,not-logged-as-wrong,,
955,marbled,not-logged-as-wrong,,,WRONG,smeared,0.6797
957,marbled,WRONG,stained,0.4806,not-logged-as-wrong,,
958,marbled,WRONG,blotchy,0.9962,WRONG,blotchy,0.9706
959,marbled,WRONG,blotchy,0.9980,WRONG,blotchy,0.9950
961,matted,WRONG,knitted,0.3633,WRONG,knitted,0.3996
964,matted,WRONG,fibrous,0.9991,WRONG,fibrous,0.9536
965,matted,WRONG,woven,0.5585,WRONG,woven,0.3777
967,matted,not-logged-as-wrong,,,WRONG,potholed,0.3567
969,matted,WRONG,fibrous,0.9036,WRONG,fibrous,0.9317
971,matted,WRONG,lacelike,0.5883,WRONG,swirly,0.6883
972,matted,WRONG,fibrous,0.6029,WRONG,fibrous,0.9913
973,matted,WRONG,fibrous,0.9948,WRONG,fibrous,0.9983
976,matted,WRONG,smeared,0.9216,WRONG,smeared,0.4762
981,matted,WRONG,fibrous,1.0000,WRONG,fibrous,0.8806
985,matted,WRONG,knitted,0.5426,WRONG,knitted,0.3693
987,matted,WRONG,fibrous,0.5460,WRONG,fibrous,0.9430
991,matted,WRONG,pleated,0.2076,WRONG,wrinkled,0.3142
992,matted,WRONG,perforated,0.4840,WRONG,pitted,0.8135
993,matted,WRONG,flecked,0.5375,not-logged-as-wrong,,
996,matted,WRONG,knitted,0.9215,WRONG,striped,0.4159
1002,meshed,WRONG,perforated,0.9471,WRONG,perforated,0.9599
1003,meshed,WRONG,grid,0.9983,WRONG,grid,0.5528
1006,meshed,WRONG,grid,0.9992,WRONG,grid,0.9355
1007,meshed,WRONG,grid,0.9995,WRONG,grid,0.9985
1009,meshed,WRONG,perforated,0.8372,WRONG,perforated,0.9261
1010,meshed,WRONG,crosshatched,0.5910,WRONG,grid,0.6779
1013,meshed,WRONG,interlaced,0.6880,WRONG,interlaced,0.6573
1015,meshed,WRONG,honeycombed,0.7927,WRONG,honeycombed,0.5700
1016,meshed,WRONG,interlaced,0.9235,WRONG,interlaced,0.7472
1021,meshed,WRONG,lacelike,1.0000,WRONG,lacelike,0.9968
1022,meshed,WRONG,braided,0.5050,WRONG,bumpy,0.5052
1028,meshed,WRONG,stained,0.6134,WRONG,grid,0.5933
1030,meshed,WRONG,grid,0.7395,WRONG,grid,0.7200
1032,meshed,not-logged-as-wrong,,,WRONG,cobwebbed,0.5377
1036,meshed,not-logged-as-wrong,,,WRONG,perforated,0.8082
1039,meshed,WRONG,crosshatched,0.7648,not-logged-as-wrong,,
1042,paisley,not-logged-as-wrong,,,WRONG,lacelike,0.9646
1055,paisley,WRONG,lacelike,0.9912,WRONG,lacelike,0.9996
1058,paisley,WRONG,lacelike,0.9987,WRONG,lacelike,0.9459
1060,paisley,WRONG,lacelike,0.6019,WRONG,swirly,0.8196
1062,paisley,WRONG,interlaced,0.9211,not-logged-as-wrong,,
1066,paisley,WRONG,lacelike,0.9085,WRONG,lacelike,0.8437
1070,paisley,WRONG,swirly,0.9495,WRONG,swirly,0.9436
1080,perforated,not-logged-as-wrong,,,WRONG,bumpy,0.9089
1087,perforated,WRONG,flecked,0.4043,WRONG,honeycombed,0.6708
1089,perforated,WRONG,crosshatched,0.6433,WRONG,crosshatched,0.3714
1090,perforated,WRONG,meshed,0.4690,WRONG,bumpy,0.5929
1093,perforated,WRONG,honeycombed,0.8979,not-logged-as-wrong,,
1094,perforated,WRONG,studded,0.5525,not-logged-as-wrong,,
1098,perforated,WRONG,studded,0.6146,WRONG,studded,0.7722
1100,perforated,WRONG,sprinkled,0.4854,WRONG,dotted,0.4792
1102,perforated,WRONG,grooved,0.7248,WRONG,grooved,0.6139
1103,perforated,WRONG,polka-dotted,0.8525,not-logged-as-wrong,,
1106,perforated,WRONG,bumpy,0.9450,WRONG,studded,0.3697
1108,perforated,WRONG,polka-dotted,0.9903,WRONG,polka-dotted,0.4840
1110,perforated,WRONG,flecked,0.5082,WRONG,braided,0.2893
1111,perforated,not-logged-as-wrong,,,WRONG,grid,0.3335
1114,perforated,WRONG,grid,0.8988,WRONG,grid,0.9990
1116,perforated,not-logged-as-wrong,,,WRONG,meshed,0.8843
1125,pitted,WRONG,smeared,0.4949,WRONG,stained,0.5406
1128,pitted,WRONG,stained,0.3695,WRONG,sprinkled,0.7356
1129,pitted,WRONG,crosshatched,0.4532,WRONG,crosshatched,0.7585
1130,pitted,WRONG,porous,0.5324,not-logged-as-wrong,,
1131,pitted,WRONG,sprinkled,0.9103,WRONG,sprinkled,0.6773
1133,pitted,WRONG,blotchy,0.5565,WRONG,blotchy,0.5764
1134,pitted,not-logged-as-wrong,,,WRONG,blotchy,0.3954
1135,pitted,not-logged-as-wrong,,,WRONG,grooved,0.3179
1136,pitted,WRONG,porous,0.8519,WRONG,porous,0.6667
1137,pitted,WRONG,porous,0.7958,WRONG,porous,0.7565
1140,pitted,WRONG,porous,0.9876,WRONG,porous,0.2574
1146,pitted,WRONG,sprinkled,0.3130,not-logged-as-wrong,,
1147,pitted,WRONG,porous,0.4764,WRONG,porous,0.9485
1148,pitted,WRONG,blotchy,0.7881,WRONG,blotchy,0.9506
1149,pitted,WRONG,stained,0.9958,WRONG,stained,0.8488
1150,pitted,WRONG,potholed,0.5211,not-logged-as-wrong,,
1151,pitted,WRONG,flecked,0.9868,WRONG,flecked,0.9370
1152,pitted,not-logged-as-wrong,,,WRONG,bubbly,0.5936
1153,pitted,WRONG,perforated,0.5845,WRONG,studded,0.5692
1155,pitted,WRONG,porous,0.5868,WRONG,porous,0.5264
1157,pitted,WRONG,bubbly,0.7581,WRONG,bubbly,0.6266
1161,pleated,WRONG,gauzy,0.2952,WRONG,scaly,0.5184
1165,pleated,WRONG,gauzy,0.9816,WRONG,gauzy,0.7260
1168,pleated,WRONG,gauzy,0.8666,WRONG,gauzy,0.7877
1169,pleated,WRONG,wrinkled,0.6859,WRONG,wrinkled,0.9006
1170,pleated,not-logged-as-wrong,,,WRONG,lined,0.7743
1177,pleated,not-logged-as-wrong,,,WRONG,spiralled,0.4755
1179,pleated,WRONG,grooved,0.7819,not-logged-as-wrong,,
1180,pleated,not-logged-as-wrong,,,WRONG,wrinkled,0.4978
1181,pleated,WRONG,zigzagged,0.9897,WRONG,zigzagged,0.9993
1184,pleated,WRONG,wrinkled,0.5548,WRONG,frilly,0.4350
1185,pleated,WRONG,grooved,0.9823,WRONG,grooved,0.9995
1188,pleated,WRONG,smeared,0.9623,WRONG,smeared,0.9890
1191,pleated,WRONG,woven,0.7952,WRONG,banded,0.6893
1194,pleated,WRONG,honeycombed,0.3386,not-logged-as-wrong,,
1201,polka-dotted,WRONG,perforated,1.0000,WRONG,perforated,0.9978
1207,polka-dotted,WRONG,dotted,0.9964,WRONG,dotted,0.9986
1211,polka-dotted,WRONG,dotted,0.7880,WRONG,dotted,0.9703
1212,polka-dotted,not-logged-as-wrong,,,WRONG,dotted,0.9858
1215,polka-dotted,not-logged-as-wrong,,,WRONG,perforated,0.4294
1217,polka-dotted,WRONG,perforated,0.4885,not-logged-as-wrong,,
1218,polka-dotted,WRONG,dotted,0.5228,WRONG,dotted,0.8209
1223,polka-dotted,WRONG,dotted,0.6898,WRONG,dotted,0.9308
1225,polka-dotted,WRONG,dotted,0.9971,WRONG,dotted,0.9731
1228,polka-dotted,not-logged-as-wrong,,,WRONG,dotted,0.7024
1233,polka-dotted,WRONG,dotted,0.9698,WRONG,dotted,0.9996
1237,polka-dotted,WRONG,dotted,0.9952,WRONG,dotted,0.9991
1241,porous,WRONG,sprinkled,0.8195,WRONG,sprinkled,0.8345
1244,porous,WRONG,pitted,0.6260,WRONG,pitted,0.9696
1245,porous,WRONG,potholed,0.5973,WRONG,potholed,0.5171
1248,porous,WRONG,marbled,0.8031,WRONG,stained,0.5259
1249,porous,WRONG,blotchy,0.6991,WRONG,blotchy,0.9556
1250,porous,WRONG,pitted,0.7235,WRONG,pitted,0.8894
1252,porous,WRONG,cracked,0.9997,WRONG,cracked,0.9994
1253,porous,WRONG,marbled,0.9211,WRONG,marbled,0.5880
1255,porous,WRONG,pitted,0.9566,WRONG,pitted,0.5211
1257,porous,WRONG,flecked,0.9849,WRONG,flecked,0.9962
1258,porous,WRONG,interlaced,0.4553,WRONG,interlaced,0.5748
1259,porous,WRONG,frilly,0.9684,WRONG,frilly,0.8936
1262,porous,not-logged-as-wrong,,,WRONG,knitted,0.7175
1264,porous,WRONG,scaly,0.9957,WRONG,scaly,0.9953
